"#","Reference","Qty","Value","Footprint","DNP"
"1","A1, J11","2","Conn_01x03_Pin","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"2","A2","1","Conn_01x03_Socket","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical",""
"3","C1","1","470uf","oscillator_DIP:oscillator_dip_2",""
"4","C2","1","10UF/16V","Capacitor_THT:C_Radial_D5.0mm_H11.0mm_P2.00mm",""
"5","C3, C6, C7, C8, C9","5","1uf","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"6","C4, C5","2","33pf","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"7","D1","1","1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal",""
"8","DS1","1","WC1602A","Display:WC1602A",""
"9","J1","1","Conn_01x02_Socket","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical",""
"10","J2, J5","2","Conn_01x07_Pin","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical",""
"11","J3","1","Conn DIP Socket SKT 40 POS 2.54mm Solder ST Thru-Hole Box","connector_dip_zif:Dip_zif_40",""
"12","J4, J8, J9","3","Conn_01x01_Pin","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical",""
"13","J6","1","DE9_Plug","Connector_Dsub:DSUB-9_Male_Horizontal_P2.77x2.54mm_EdgePinOffset9.40mm",""
"14","J7","1","Conn_01x11_Pin","Connector_PinHeader_2.54mm:PinHeader_1x11_P2.54mm_Vertical",""
"15","J10, J16","2","Conn_01x04_Pin","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"16","J12, J14, J15, PORT1, PORT2, PORT_3, PORT_4","7","Conn_01x08_Pin","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical",""
"17","J13","1","Conn_01x11_Socket","Connector_PinSocket_2.54mm:PinSocket_1x11_P2.54mm_Vertical",""
"18","key1, PORT3, PORT4, PORT_1, PORT_2","5","Conn_01x08_Socket","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical",""
"19","Q1, Q2, Q3, Q4","4","BC547","Package_TO_SOT_THT:TO-92_Inline",""
"20","R1","1","1OK","Resistor_THT:R_Axial_DIN0414_L11.9mm_D4.5mm_P5.08mm_Vertical",""
"21","RN1","1","R_Network08_US","Resistor_THT:R_Array_SIP9",""
"22","RV1, RV2","2","R_Potentiometer","Potentiometer_THT:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical",""
"23","SW1","1","SW_Push","Button_Switch_THT:SW_PUSH_6mm_H4.3mm",""
"24","SW2, SW3, SW4","3","SW_DPDT_x2","Button_Switch_THT:SW_CuK_JS202011CQN_DPDT_Straight",""
"25","SW5, SW6, SW7, SW8, SW9, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW20","16","SW_Push","Button_Switch_THT:SW_Tactile_Straight_KSL0Axx1LFTR",""
"26","U1","1","LM7805_TO220","Package_TO_SOT_THT:TO-220-3_Vertical",""
"27","U2","1","ULN2003A","Package_DIP:DIP-16_W7.62mm_Socket",""
"28","U3","1","MAX232","Package_DIP:DIP-16_W10.16mm_LongPads",""
"29","U4","1","ADC0808CCN","Package_DIP:DIP-28_W15.24mm_Socket",""
"30","U5","1","CA56-12EWA","Display_7Segment:CA56-12EWA",""
"31","Y1","1","Crystal 11.059Mhz","oscillator_DIP:oscillator_dip_2",""
